t,x,y,z
0.0,17.67715816276679,12.931379185960404,43.91404334248268
0.01,17.08104856893418,9.969652247038557,44.72177491190752
0.02,16.25995970217885,7.0676408688832435,44.94102114918608
0.03,15.250764233722963,4.358929587488002,44.64208730747446
0.04,14.093194714479548,1.9333469719695187,43.918095481847786
0.05,12.832025747597598,-0.14898816815796367,42.87695699456436
0.06,11.510245483070827,-1.8750306212560193,41.624174849236084
0.07,10.167826939228089,-3.2509107142060003,40.253104199281374
0.08,8.837703732949228,-4.310526475995945,38.838491792756706
0.09,7.547345234268009,-5.093352521731537,37.436024978633796
0.1,6.316671484020151,-5.646997465763967,36.083971692300715
0.11,5.159587307886362,-6.015532759871382,34.804483982552874
0.12,4.084843834490558,-6.241560443607507,33.60982200619719
0.13,3.0960628627206974,-6.360022704698217,32.502589611991496
0.14,2.193917187801273,-6.402480237544406,31.48123591434976
0.15,1.376144847759637,-6.392417672525202,30.540443725317914
0.16,0.6386262698927757,-6.3504069922554915,29.67372931234055
0.17,-0.024015184655907573,-6.291467227482783,28.873757026803187
0.18,-0.6175307666188803,-6.22754356574381,28.13399735349102
0.19,-1.1489862759906306,-6.167753969562561,27.44759446818237
0.2,-1.6243981354183918,-6.11860390380428,26.80951066712113
0.21,-2.0510151336786198,-6.085183705066664,26.21449514649
0.22,-2.4348228782503964,-6.070698795939363,25.659027481357786
0.23,-2.7815038548802775,-6.077949181534785,25.140074640802386
0.24,-3.0980601228914555,-6.107999596911745,24.65467774371091
0.25,-3.388311904517481,-6.162118158978535,24.201819175333004
0.26,-3.656514400648282,-6.241324587607352,23.780379506116113
0.27,-3.909541905060053,-6.344820106096479,23.388733449403368
0.28,-4.150084669562828,-6.472801997319871,23.027206747753855
0.29,-4.38017095072339,-6.625709605119422,22.696383264981485
0.3,-4.603203143810761,-6.803384455807506,22.396478843142592
0.31,-4.825562860754873,-7.003800775703974,22.127242816832016
0.32,-5.0482670939142436,-7.226581504299145,21.89025877643634
0.33,-5.271837019889711,-7.471536431736409,21.687259841392827
0.34,-5.496793815282116,-7.738475348159152,21.519979131138744
0.35000000000000003,-5.724794825391588,-8.026861077081513,21.390045708885154
0.36,-5.961639939174521,-8.334040348622205,21.298833205013942
0.37,-6.207503118661959,-8.657860561174886,21.248407829515806
0.38,-6.461716722898963,-8.996351761256614,21.24092370263042
0.39,-6.723613110930593,-9.347543995384457,21.278534944597457
0.4,-6.99252464180191,-9.709467310075478,21.363395675656598
0.41000000000000003,-7.269737500436816,-10.079473451159494,21.498352045881493
0.42,-7.55728964054183,-10.452619040699552,21.68581841879854
0.43,-7.853189995935586,-10.823809329420701,21.92625015807205
0.44,-8.155372248317112,-11.187960608888066,22.220070797226448
0.45,-8.461770102358125,-11.53998915956156,22.567703910731048
0.46,-8.772005484498358,-11.873513737045453,22.972239313755697
0.47000000000000003,-9.084352511445584,-12.180891927640246,23.433002911865643
0.48,-9.394763777813036,-12.455128612803385,23.944844774094705
0.49,-9.699191878213956,-12.689228673992318,24.5026149694767
0.5,-9.993608436736933,-12.876102128875129,25.101266511377954
0.51,-10.274729081593412,-13.005234223428342,25.738826963583808
0.52,-10.538502368310583,-13.070759688009817,26.406413366599736
0.53,-10.780327656369305,-13.069696823898028,27.091684247565375
0.54,-10.995604305250437,-12.99906393237145,27.78229813362036
0.55,-11.178857275975375,-12.852782739856252,28.46678172153741
0.56,-11.324920513353428,-12.626149734462796,29.134327398364718
0.5700000000000001,-11.431944689235728,-12.32646334175783,29.771722417696676
0.58,-11.498192087296404,-11.961422335212236,30.365660855132237
0.59,-11.521787152425576,-11.538502362952931,30.902804733150255
0.6,-11.498476904802658,-11.060992764105748,31.37123127440294
0.61,-11.428953967924032,-10.539312422705404,31.765270918789245
0.62,-11.315975512929548,-9.987087554667749,32.080518431656444
0.63,-11.161317411788993,-9.417245032645022,32.31157366713447
0.64,-10.965063035706955,-8.839694417491685,32.45398574160062
0.65,-10.732525988309296,-8.265767792837579,32.51199846490852
0.66,-10.469524052391428,-7.707045746712582,32.49052988698983
0.67,-10.180146674654482,-7.174359897115374,32.391929709601506
0.68,-9.868547376013847,-6.674113310977486,32.22116957183151
0.6900000000000001,-9.540849845028262,-6.211204485866427,31.987485999570698
0.7000000000000001,-9.203120790580781,-5.790699652923358,31.699770499520568
0.71,-8.860330880904705,-5.417280759671424,31.363511340958024
0.72,-8.516761202850477,-5.0907222022992045,30.986204138597696
0.73,-8.17672682002363,-4.8099912648676755,30.57617823124864
0.74,-7.844598618087965,-4.574174894285936,30.141606045208572
0.75,-7.52470657783596,-4.383152638287929,29.687755192034373
0.76,-7.219331390058236,-4.234291084605061,29.219204445567165
0.77,-6.9303423072890755,-4.124297602992252,28.7409249339893
0.78,-6.659609913445167,-4.0498812427347595,28.257886778059717
0.79,-6.409393605103484,-4.008687934802349,27.774093863382845
0.8,-6.180829422710097,-3.998574886675044,27.291948634061875
0.81,-5.9742654020561865,-4.016775691368519,26.813892104273688
0.8200000000000001,-5.790049578932933,-4.060523941898446,26.34236528819518
0.8300000000000001,-5.628541958916378,-4.1274712646470215,25.879746143878315
0.84,-5.489824371842635,-4.216467084210511,25.42775162595577
0.85,-5.3736830526591035,-4.32600344515742,24.987713943369638
0.86,-5.279897735204123,-4.454543410979551,24.56096095878369
0.87,-5.208204017936374,-4.600622903110998,24.148846072066693
0.88,-5.157735027094167,-4.764068192141582,23.75302485270685
0.89,-5.128088900870188,-4.944595137788141,23.37478065420612
0.9,-5.1190872590157905,-5.1416330086560755,23.015254599288415
0.91,-5.1305517212823215,-5.3546110733507835,22.675587810677655
0.92,-5.1623039074211325,-5.582958600477664,22.356921411097748
0.93,-5.213848567547316,-5.826984841860388,22.06071617342558
0.9400000000000001,-5.284132167996562,-6.088612591095281,21.78934283366897
0.9500000000000001,-5.373007728186083,-6.36731303649445,21.544620180353725
0.96,-5.480387968460755,-6.662393539524025,21.328317596716314
0.97,-5.606185609165454,-6.973161461650145,21.142204465993206
0.98,-5.750313370645055,-7.2989241643389375,20.988050171420888
0.99,-5.912683973244435,-7.638989009056534,20.867624096235822
1.0,-6.093210137308468,-7.992663357269065,20.782695623674492
1.01,-6.291812956245778,-8.359821189243561,20.735743219608025
1.02,-6.5079808631114044,-8.740750793588221,20.731126225985854
1.03,-6.7406578651065665,-9.13291518804803,20.771229146773962
1.04,-6.98876608089102,-9.533580736617033,20.858249327799367
1.05,-7.2512276291245215,-9.940013803289279,20.99438411488909
1.06,-7.527138831423608,-10.349518751393635,21.182130434963764
1.07,-7.816708108410667,-10.758696003375416,21.426043164744822
1.08,-8.11782533116392,-11.16178773139748,21.726974574836778
1.09,-8.42780355704622,-11.552717153471738,22.084814652428637
1.1,-8.743955843420421,-11.9254074876101,22.4994533847094
1.11,-9.064272812377714,-12.273061252024249,22.97271325481239
1.12,-9.386641055312243,-12.587078703177704,23.505670166800122
1.1300000000000001,-9.706439874877994,-12.859760289978084,24.09183344792914
1.1400000000000001,-10.018959254654208,-13.08346502864685,24.72444910740661
1.1500000000000001,-10.319493941579813,-13.25047584423911,25.396838723325043
1.16,-10.603592722872857,-13.349336671719156,26.105567801618456
1.17,-10.86651394469319,-13.37420877062134,26.840184888930672
1.18,-11.103296432366436,-13.322943774850884,27.586303291738627
1.19,-11.308979011218225,-13.19339331831301,28.329536316519274
1.2,-11.4771034435833,-12.979058059931234,29.056413032235557
1.21,-11.602481720329427,-12.6781167696984,29.754217350827805
1.22,-11.683754158335697,-12.300563514220444,30.408961185803232
1.23,-11.719599557385045,-11.856508425204478,31.006639465062293
1.24,-11.708170245122265,-11.355255584400973,31.53315283419481
1.25,-11.64554757082317,-10.802203899066157,31.977384908584717
1.26,-11.53409861490578,-10.211069967694304,32.33530907233671
1.27,-11.37738789444867,-9.597286500562463,32.60364841414435
1.28,-11.176688588318921,-8.974560316605377,32.77699586484751
1.29,-10.934589116973985,-8.354091281130634,32.85556697138332
1.3,-10.657640396245862,-7.748002246283799,32.84585453924284
1.31,-10.352039197532863,-7.16842721733347,32.753713907384096
1.32,-10.021735959410448,-6.624861502273371,32.58234712917701
1.33,-9.672811702012652,-6.12223009528865,32.341061310617114
1.34,-9.311869520199526,-5.665074020456961,32.04028615758273
1.35,-8.945103782772406,-5.258580424647107,31.688235485686505
1.36,-8.57726163460261,-4.904095285078643,31.291652052885897
1.37,-8.212799512066223,-4.599891533007541,30.859376964874272
1.3800000000000001,-7.856174082922611,-4.344237794619055,30.400256679206816
1.3900000000000001,-7.5120760042152535,-4.136158853581761,29.921575110428545
1.4000000000000001,-7.183661674620747,-3.973645530018581,29.427779395449612
1.41,-6.872806966171516,-3.8529381417177486,28.923907899778058
1.42,-6.58138437756903,-3.7702711724526963,28.415004622371967
1.43,-6.31157034625354,-3.7225254471944145,27.905523892006226
1.44,-6.064753286092054,-3.7073044051745185,27.398080550804384
1.45,-5.841261924387936,-3.721548664626184,26.89511139384985
1.46,-5.641418333470707,-3.762191665113083,26.399056333870256
1.47,-5.465534423360439,-3.8266765842918407,25.912263706852126
1.48,-5.313569784894435,-3.9135605777419955,25.436348914210992
1.49,-5.18525152622622,-4.021135723895405,24.972591219554655
1.5,-5.08030518481839,-4.147685744644541,24.52226858376888
1.51,-4.998236472689016,-4.291816136098659,24.086753248328613
1.52,-4.9380814705108,-4.453375740235658,23.667516829593016
1.53,-4.8995627633312235,-4.631830883991105,23.26562226647765
1.54,-4.882458773512783,-4.826588366262349,22.882104473916673
1.55,-4.886547923417975,-5.037054985946741,22.517998366844242
1.56,-4.911451793680976,-5.262884099921353,22.174410157992305
1.57,-4.955599791771306,-5.505841955596857,21.853233568863285
1.58,-5.018705208924587,-5.766124573140114,21.556239494161044
1.59,-5.100851651119994,-6.043389625689261,21.28507552942078
1.6,-5.202122724336702,-6.337294786382436,21.041389270177692
1.61,-5.322602034553886,-6.647497728357776,20.826828311966974
1.62,-5.4623731877507185,-6.973656124753421,20.64304025032382
1.6300000000000001,-5.621519789906377,-7.315427648707507,20.49167268078343
1.6400000000000001,-5.799999717324567,-7.673117733373476,20.37494029431526
1.6500000000000001,-5.99711452888479,-8.047971784551699,20.296915082073955
1.6600000000000001,-6.212168617215922,-8.438362435497092,20.260364976158908
1.67,-6.444488563011897,-8.84243430045774,20.26790646029396
1.68,-6.693400946966662,-9.258331993681745,20.32215601820296
1.69,-6.958236552717503,-9.684202464214602,20.42573643103024
1.7,-7.239424610416053,-10.118290284909115,20.5831032814112
1.71,-7.536120718117874,-10.556304204391084,20.797470683858858
1.72,-7.846153730318068,-10.992809739806663,21.070213006172857
1.73,-8.167352501511742,-11.42237240830201,21.402704616152842
1.74,-8.497676144731301,-11.83950872239818,21.796617006703055
1.75,-8.83620322445666,-12.23717686976867,22.256044363351517
1.76,-9.179422968501132,-12.606817680355482,22.778887862603582
1.77,-9.52305492957659,-12.939855478595637,23.36125781004828
1.78,-9.862829045794527,-13.227677347439416,23.999322189648293
1.79,-10.195123363537427,-13.458682231766886,24.692732661330666
1.8,-10.514989338593226,-13.623897756924125,25.43340216805818
1.81,-10.816649118741683,-13.716904549603049,26.20856446730093
1.82,-11.094324851762561,-13.73128323649557,27.005453316529017
1.83,-11.341502135566412,-13.656547689102606,27.81327975276777
1.84,-11.55247582643582,-13.48735768206458,28.61902558699942
1.85,-11.723278731132446,-13.228403985359018,29.404970630036015
1.86,-11.849953266946958,-12.884431929048311,30.153368767703675
1.87,-11.927267139128952,-12.457644013504042,30.846747204684924
1.8800000000000001,-11.950744052796772,-11.952100663192349,31.47171979053673
1.8900000000000001,-11.92126411609836,-11.382874151645504,32.017720284093166
1.9000000000000001,-11.839713153949987,-10.765256486385832,32.47404935862364
1.9100000000000001,-11.703456681774242,-10.110658570567631,32.82858674275139
1.92,-11.515755146780858,-9.43393735055107,33.08003381854842
1.93,-11.282554645261461,-8.752079366685845,33.23047470818466
1.94,-11.008526213411892,-8.08137935110137,33.280480614170706
1.95,-10.696709135880587,-7.433353860710147,33.23169113673067
1.96,-10.354518396557014,-6.817795087493319,33.09410112220301
1.97,-9.989488404547219,-6.24463686304713,32.87772801577355
1.98,-9.607284426756554,-5.722409625966992,32.58898343584495
1.99,-9.21403671706268,-5.253426169847746,32.23811993039584
2.0,-8.816254403529795,-4.83906065645971,31.836669266627656
2.0100000000000002,-8.420582786726584,-4.48150483473122,31.394707139809093
2.02,-8.032088074728623,-4.180764895462616,30.919003297266745
2.0300000000000002,-7.6542594859797655,-3.933093922007968,30.4173723877982
2.04,-7.290565827572166,-3.7346855783996658,29.89767259110941
2.05,-6.944649468259062,-3.582022285414407,29.367380496147142
2.06,-6.619937656474257,-3.472710987554458,28.830696823958426
2.07,-6.317644683731141,-3.402855446779263,28.29117846369163
2.08,-6.038756504933864,-3.3683196569632945,27.75252998378947
2.09,-5.784325462539687,-3.3651340821324958,27.218375544020816
2.1,-5.555329012911792,-3.390696198043278,26.69118147755258
2.11,-5.3517644947634535,-3.442379137493358,26.17264720806891
2.12,-5.1735145762131864,-3.5174442141928157,25.66446993920221
2.13,-5.020327522645011,-3.6134704452807243,25.168374650564083
2.14,-4.8916049421032755,-3.729241783477426,24.68575927114138
2.15,-4.786930910199284,-3.863478308064905,24.217604001617083
2.16,-4.705902435186226,-4.014877907311942,23.76487770389054
2.17,-4.647936536376338,-4.182309643015142,23.328604801064674
2.18,-4.611510216883602,-4.366018651799138,22.910149840998788
